name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
EPCAM,5e-28,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,Medium,88,0.222929729326285,6.55771058841766,0.00178571428571429,0.222929729326285,4,5,FALSE,0.196274383751193,0,Consistent,Medium_High,Urothelial,0
EPHA2,2e-14,ambiguous,review,no,yes,yes,2,yes,uro_cells,uro_cells,Medium,Medium,134,0.287879034317897,38.9204071615214,0.00186219739292365,0.287879034317896,2,2,TRUE,-0.636974186070886,3,Consistent,Medium_Medium,Ambiguous,2
EREG,3.1e-34,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Medium,108,0.240430844295742,16.4577745325733,0.00181818181818182,0.240430844295741,2,2,TRUE,-0.420319377427017,0,Consistent,Medium_Low,Urothelial,0
EZH2,3.4e-50,uro_cells,yes,no,yes,yes,2,yes,non_urothelial,uro_cells,Medium,Medium,124,0.269368112887163,27.9437747131923,0.0018450184501845,0.269368112887162,3,4,FALSE,-0.342518120470145,3,Inconsistent,Medium_Medium,Urothelial,0
FAS,4.7e-11,ambiguous,review,no,no,no,0,yes,non_urothelial,non_urothelial,Medium,Medium,112,0.252005867017087,23.3918846569139,0.00182481751824818,0.252005867017086,1,1,FALSE,-0.399657968789604,0,Consistent,Medium_Medium,Ambiguous,2
FGFR1,4e-15,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Low,194,0.402644690510608,89.264451816554,0.0019723865877712,0.402644690510608,2,2,TRUE,0.727077125141016,0,Consistent,Low_Medium,Urothelial,0
FGFR3,1.9e-37,uro_cells,yes,no,yes,yes,2,yes,non_urothelial,non_urothelial,Low,Low,172,0.359595765695521,70.9022830851557,0.00193050193050193,0.359595765695521,2,2,TRUE,0.162745486928711,3,Consistent,Low_Low,Urothelial,0
FGFR4,2.3e-06,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,High,128,0.271059553012798,28.0635766047688,0.00185185185185185,0.271059553012798,2,2,TRUE,0.676757521294621,0,Consistent,High_High,Urothelial,0
FN1,1.6e-24,non_urothelial,no,no,yes,no,1,yes,uro_cells,uro_cells,High,Low,348,0.688137907020088,432.007464524502,0.00232558139534884,0.688137907020087,4,5,FALSE,0.259474594874806,2,Consistent,Low_High,Non-urothelial,0
FOXO1,2.5e-26,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,152,0.329326386420306,56.8459453292017,0.00189393939393939,0.329326386420305,3,4,FALSE,-0.284546183844877,0,Inconsistent,Low_Low,Urothelial,0
GAB2,4.3e-17,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,134,0.292960327997873,31.0060279221561,0.00186219739292365,0.292960327997873,2,2,TRUE,0.120960445491281,0,Consistent,Medium_Medium,Urothelial,0
GATA3,4.2e-42,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,Medium,116,0.254986955954393,30.2982122552393,0.00183150183150183,0.254986955954393,1,1,FALSE,0.237470429028362,0,Consistent,Medium_High,Urothelial,0
HBEGF,1.9e-29,missing,review,yes,no,no,1,yes,uro_cells,non_urothelial,Low,Medium,134,0.315151748388753,43.9224873086216,0.00186219739292365,0.315151748388752,2,2,TRUE,-0.237709113542283,1,Inconsistent,Medium_Low,Other,2
HIF1A,5.2e-25,uro_cells,yes,yes,no,no,1,yes,uro_cells,uro_cells,Medium,Medium,296,0.61347633207466,252.732083233716,0.00219298245614035,0.613476332074659,3,4,FALSE,-0.47764363228178,1,Consistent,Medium_Medium,Urothelial,0
HSPA4,2.3e-26,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Medium,Low,166,0.354264191731582,64.8312085921165,0.00191938579654511,0.354264191731582,3,4,FALSE,0.0533444615364163,0,Inconsistent,Low_Medium,Urothelial,0
HSPA5,1.1e-11,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,High,98,0.240544804756689,13.5039112779204,0.0018018018018018,0.240544804756688,3,4,FALSE,-0.628093192928366,0,Consistent,High_High,Urothelial,0
ICAM1,2.5e-46,non_urothelial,no,no,yes,no,1,yes,non_urothelial,uro_cells,Low,Low,204,0.450318487146673,90.1663014664543,0.00199203187250996,0.450318487146673,1,1,FALSE,-0.0933837274605049,2,Inconsistent,Low_Low,Non-urothelial,0
