name,label,expression,degree.x,betweenness.x,closeness.x,eigenvector.x,degree.y,is_signature,betweenness.y,closeness.y,eigenvector.y,hub_score,authority_score,community,mean_expr_UroB,mean_expr_GU,mean_expr_UroA,mean_expr_BaSq,mean_expr_UroC,go_pval,go_padj,go_description,go_hub_score,go_rank,module,in_signature_module,random_walk_score
CTNNB1,CTNNB1,0.0318754499051705,446,831.194124143341,0.0026246719160105,0.83246445396468,446,FALSE,831.194124143341,0.0026246719160105,0.832464453964678,0.832464453964681,0.83246445396468,3,-0.140147634328461,-0.542104064757568,0.487580775008205,-0.37946736944354,0.0318754499051705,2.88488706739128e-24,8.62581233149994e-22,urinary bladder cancer,0.832464453964681,76,4,FALSE,0.0061663952724813
CTNND1,CTNND1,0.0533302613007993,88,17.7257254602291,0.00178571428571429,0.187073578978943,88,FALSE,17.7257254602291,0.00178571428571429,0.187073578978943,0.187073578978943,0.187073578978943,2,0.254724956501808,-0.477285156202424,0.590659063622116,-0.104446351203508,0.0533302613007993,6.13203098683674e-29,1.83347726506419e-26,Not annotated,0.187073578978943,47,3,TRUE,0.00230730658158802
CTTN,CTTN,-0.0319808427093733,96,21.4194832493548,0.00179856115107914,0.198398180330351,96,FALSE,21.4194832493548,0.00179856115107914,0.198398180330351,0.198398180330351,0.198398180330351,2,0.395010786277779,-0.498435201474541,0.55666262357635,-0.223467055724213,-0.0319808427093733,1.21542491174191e-26,3.63412048610832e-24,Not annotated,0.198398180330351,63,3,TRUE,0.00129255846435922
CXCL8,CXCL8,-0.555532024785957,248,150.561747582414,0.00208333333333333,0.531616520220521,248,FALSE,150.561747582414,0.00208333333333333,0.53161652022052,0.531616520220521,0.53161652022052,1,0.575665222751547,0.092725749716972,-0.554242221137224,1.00864278697797,-0.555532024785957,7.40558063888591e-43,2.21426861102689e-40,urinary bladder cancer; bladder carcinoma,0.531616520220521,16,1,FALSE,0.00287330972338396
CXCR4,CXCR4,0.231975097299844,234,144.070941453009,0.00205338809034908,0.5136832948607,234,FALSE,144.070941453009,0.00205338809034908,0.513683294860699,0.5136832948607,0.513683294860699,1,0.0694672564195905,0.0158956967399103,-0.683432957188029,0.449685175247837,0.231975097299844,6.11976861745561e-36,1.82981081661923e-33,urinary bladder cancer; bladder carcinoma,0.5136832948607,30,1,FALSE,0.002883694713507
DNM2,DNM2,0.0715976218247899,70,16.1071947985861,0.00175746924428822,0.139321725292537,70,FALSE,16.1071947985861,0.00175746924428822,0.139321725292537,0.139321725292537,0.139321725292537,2,0.073538898891238,-0.200102125772348,0.759706711677552,-0.972331041236642,0.0715976218247899,5.57945321077345e-57,1.66825651002126e-54,Not annotated,0.139321725292537,3,3,TRUE,0.00218836352807487
EPCAM,EPCAM,0.196274383751193,88,6.55771058841766,0.00178571428571429,0.222929729326285,88,FALSE,6.55771058841766,0.00178571428571429,0.222929729326285,0.222929729326285,0.222929729326284,4,-0.130243942748519,0.799505945025307,-0.0482154303091333,-0.338677835404734,0.196274383751193,1.6635480345222e-30,4.97400862322139e-28,Not annotated,0.222929729326285,44,5,FALSE,0.00421054835818972
EPHA2,EPHA2,-0.636974186070886,134,38.9204071615214,0.00186219739292365,0.287879034317896,134,FALSE,38.9204071615214,0.00186219739292365,0.287879034317897,0.287879034317897,0.287879034317896,2,0.549199435637814,-0.349661755517541,0.233996474053672,0.553504712771056,-0.636974186070886,6.85270303427706e-17,2.04895820724884e-14,urinary bladder cancer; bladder carcinoma,0.287879034317897,101,2,TRUE,0.0027474777737701
EREG,EREG,-0.420319377427017,108,16.4577745325733,0.00181818181818182,0.240430844295741,108,FALSE,16.4577745325733,0.00181818181818182,0.240430844295741,0.240430844295742,0.240430844295741,2,-0.184799238748175,0.308662005880851,-0.441860842805874,1.14171740694666,-0.420319377427017,1.03666836914763e-36,3.09963842375141e-34,Not annotated,0.240430844295742,26,2,TRUE,0.0044753392977925
EZH2,EZH2,-0.342518120470145,124,27.9437747131923,0.0018450184501845,0.269368112887162,124,FALSE,27.9437747131923,0.0018450184501845,0.269368112887162,0.269368112887163,0.269368112887162,3,-0.333103955182357,0.945874389949563,-0.506704839129866,0.451447749978977,-0.342518120470145,1.12514511509703e-52,3.36418389414012e-50,urinary bladder cancer; bladder carcinoma,0.269368112887163,6,4,FALSE,0.00242699575765241
FAS,FAS,-0.399657968789604,112,23.3918846569139,0.00182481751824818,0.252005867017086,112,FALSE,23.3918846569139,0.00182481751824818,0.252005867017086,0.252005867017087,0.252005867017086,1,0.0115039529708831,-0.393154539247131,-0.238385766131997,0.696407936693214,-0.399657968789604,1.56644455185144e-13,4.6836692100358e-11,urinary bladder cancer,0.252005867017087,110,1,FALSE,0.00120312395947098
FGFR1,FGFR1,0.727077125141016,194,89.264451816554,0.0019723865877712,0.402644690510608,194,FALSE,89.264451816554,0.0019723865877712,0.402644690510608,0.402644690510608,0.402644690510608,2,-0.287261722926173,-0.0611061790773776,-0.542115720437573,0.00647050893499152,0.727077125141016,1.35247811175017e-17,4.043909554133e-15,Not annotated,0.402644690510608,99,2,TRUE,0.00438814925023551
FGFR3,FGFR3,0.162745486928711,172,70.9022830851557,0.00193050193050193,0.359595765695521,172,FALSE,70.9022830851557,0.00193050193050193,0.359595765695521,0.359595765695521,0.359595765695521,2,0.448075157712112,-0.637285490195931,0.641993953326258,-0.328982652320248,0.162745486928711,6.34564224389833e-40,1.8973470309256e-37,urinary bladder cancer; bladder carcinoma,0.359595765695521,20,2,TRUE,0.00223229840474311
FGFR4,FGFR4,0.676757521294621,128,28.0635766047688,0.00185185185185185,0.271059553012798,128,FALSE,28.0635766047688,0.00185185185185185,0.271059553012798,0.271059553012798,0.271059553012798,2,-0.26947843036172,0.0350838070780866,-0.351237821703908,-0.11255829307625,0.676757521294621,7.61240951076002e-09,2.27611044371725e-06,Not annotated,0.271059553012798,120,2,TRUE,0.00198475738708896
FN1,FN1,0.259474594874806,348,432.007464524502,0.00232558139534884,0.688137907020087,348,FALSE,432.007464524502,0.00232558139534884,0.688137907020088,0.688137907020088,0.688137907020087,4,-0.405486812472549,0.126542413572905,-0.552996768003432,0.68117097634643,0.259474594874806,5.40710438122637e-27,1.61672420998669e-24,urinary bladder cancer,0.688137907020088,60,5,FALSE,0.00562136887093224
FOXO1,FOXO1,-0.284546183844877,152,56.8459453292017,0.00189393939393939,0.329326386420305,152,FALSE,56.8459453292017,0.00189393939393939,0.329326386420305,0.329326386420306,0.329326386420305,3,-0.200142213366578,-0.675588401379074,0.467412738679037,-0.436277803550094,-0.284546183844877,8.34544310988149e-29,2.49528748985456e-26,Not annotated,0.329326386420306,53,4,FALSE,0.00147447982408075
GAB2,GAB2,0.120960445491281,134,31.0060279221561,0.00186219739292365,0.292960327997873,134,FALSE,31.0060279221561,0.00186219739292365,0.292960327997873,0.292960327997873,0.292960327997872,2,-0.466655102808643,0.566488862385934,-0.320608457955014,-0.454582290254066,0.120960445491281,1.453945260546e-19,4.34729632903254e-17,Not annotated,0.292960327997873,91,2,TRUE,0.00145812654343395
GATA3,GATA3,0.237470429028362,116,30.2982122552393,0.00183150183150183,0.254986955954393,116,FALSE,30.2982122552393,0.00183150183150183,0.254986955954393,0.254986955954393,0.254986955954393,1,0.224888124366645,0.296156307553683,0.493262475755718,-1.01738506168758,0.237470429028362,1.39549929204732e-44,4.17254288322149e-42,Not annotated,0.254986955954393,14,1,FALSE,0.00155048002764259
