gene_symbol	ensembl_gene_id	description	module	degree	hub_score	rwr_score	max_diff	padj	protein_atlas	receptor	uro_receptor	keep	go_bladder_disease	go_urinary_bladder_cancer	go_bladder_carcinoma	go_count	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	scRNA_normal_class	scRNA_normal_conf_score	scRNA_normal_conf_level	scRNA_cancer_class	scRNA_cancer_conf_score	scRNA_cancer_conf_level
CCL2	ENSG00000108691	C-C motif chemokine ligand 2	1	180	0.4	0.00147	1.48	4.40E-48	uro_cells	NA	NA	yes	no	no	no	0	no	-0.763	0.235	0.273	0.118	0.713	uro_cells	0.91	Low	non_urothelial	3.74	Medium
CD274	ENSG00000120217	CD274 molecule	1	136	0.32	0.00243	1.55	1.10E-35	uro_cells	NA	NA	yes	no	no	no	0	no	-0.59	0.158	-0.384	0.157	0.956	non_urothelial	3.89	High	non_urothelial	3.46	Low
GATA3	ENSG00000107485	GATA binding protein 3	1	116	0.25	0.00155	1.51	4.20E-42	uro_cells	NA	NA	yes	no	no	no	0	no	0.493	0.225	0.237	0.296	-1.017	uro_cells	1.41	Medium	uro_cells	2.96	High
JAK2	ENSG00000096968	Janus kinase 2	1	280	0.6	0.00514	1.1	1.70E-11	uro_cells	NA	NA	yes	no	no	no	0	no	-0.168	0.244	-0.471	-0.556	0.546	non_urothelial	3.76	Medium	non_urothelial	3.87	Medium
PTGS2	ENSG00000073756	prostaglandin-endoperoxide synthase 2	1	182	0.44	0.00262	1.03	1.10E-08	uro_cells	NA	NA	yes	yes	yes	yes	3	yes	-0.066	0.328	-0.395	-0.425	0.602	uro_cells	1.66	High	non_urothelial	3.38	Low
SOCS1	ENSG00000185338	suppressor of cytokine signaling 1	1	136	0.3	0.00246	1.18	2.30E-26	uro_cells	NA	NA	yes	no	yes	no	1	yes	-0.64	0.107	-0.061	0.119	0.545	non_urothelial	3.37	Low	uro_cells	1.31	Medium
SOCS3	ENSG00000184557	suppressor of cytokine signaling 3	1	168	0.38	0.00146	1.54	7.70E-50	uro_cells	NA	NA	yes	no	no	no	0	no	-0.733	0.398	-0.035	0.076	0.81	uro_cells	1.37	Low	uro_cells	2.05	Medium
STAT1	ENSG00000115415	signal transducer and activator of transcription 1	1	220	0.48	0.00271	1.32	3.30E-17	uro_cells	NA	NA	yes	no	no	no	0	no	-0.348	0.534	-0.598	-0.095	0.724	non_urothelial	2.30	Low	uro_cells	1.27	Medium
STAT3	ENSG00000168610	signal transducer and activator of transcription 3	1	416	0.82	0.00577	1.27	7.80E-17	uro_cells	NA	NA	yes	no	no	no	0	no	-0.234	0.471	-0.594	-0.475	0.678	uro_cells	1.29	Low	uro_cells	0.90	Low
STAT6	ENSG00000166888	signal transducer and activator of transcription 6	1	112	0.25	0.00118	1.34	7.50E-47	uro_cells	NA	NA	yes	no	no	no	0	no	0.573	0.361	0.213	-0.765	-0.333	non_urothelial	2.64	Low	uro_cells	0.51	Low
