"node_id","node_label","expression","degree","is_signature","betweenness","closeness","eigenvector","hub_score","authority_score","community","mean_expr_UroB","mean_expr_GU","mean_expr_UroA","mean_expr_BaSq","mean_expr_UroC","go_pval","go_padj","go_description","go_hub_score","go_rank","module","in_signature_module","random_walk_score"
"ITGB2","ITGB2",0.254122353868057,94,FALSE,19.9630665452389,0.00179533213644524,0.191867244637,0.191867244637001,0.191867244637,2,0.211144940404462,-0.0734929142194637,-0.678519941770458,0.584417204642099,0.254122353868057,4.51425579231101e-38,1.34976248190099e-35,"Not annotated",0.191867244637001,22,3,TRUE,0.00117528001287463
"ITGB3","ITGB3",0.284869058710756,168,FALSE,68.175021384095,0.00192307692307692,0.368842766423734,0.368842766423734,0.368842766423734,2,-0.218562337447177,-0.0409510746743037,-0.555583851983776,0.306951858695178,0.284869058710756,,,,,,,,
"JAK1","JAK1",0.011394476940317,208,FALSE,94.1817094306096,0.002,0.454646941622049,0.45464694162205,0.454646941622049,1,0.10950768780539,-0.603146920932792,0.219946380234661,-0.216897473272633,0.011394476940317,,,,,,,,
"JAK2","JAK2",-0.47086822506493,280,FALSE,209.218448943619,0.0021551724137931,0.597337794884637,0.597337794884638,0.597337794884637,1,0.244188118422962,-0.555892768980609,-0.168301645684861,0.546042090560464,-0.47086822506493,5.83213342650372e-14,1.74380789452461e-11,"Not annotated",0.597337794884638,108,1,FALSE,0.00513720636488068
"JAK3","JAK3",0.00350190092231943,162,FALSE,57.6822574500885,0.00191204588910134,0.351125295910765,0.351125295910766,0.351125295910766,1,-0.00588230073244499,-0.0669662981475709,-0.199955506126258,0.146801773305798,0.00350190092231943,,,,,,,,
"JUN","JUN",0.13482630598853,346,FALSE,389.638781128728,0.00232018561484919,0.697477669503499,0.6974776695035,0.697477669503499,3,-0.125762757203552,-0.0943704679354834,-0.406789347903483,0.584072705582684,0.13482630598853,,,,,,,,
"KDR","KDR",0.190313592344826,274,FALSE,230.366053014977,0.00214132762312634,0.56516416972148,0.565164169721481,0.56516416972148,2,-0.106025657463818,0.02878186832073,-0.234724069598157,-0.254544933519628,0.190313592344826,,,,,,,,
"KIT","KIT",0.481212591411218,286,FALSE,246.635677376919,0.00216919739696312,0.588239990477547,0.588239990477548,0.588239990477547,2,0.0512392058761906,-0.421890129089563,0.0411982018786292,-0.468233949097082,0.481212591411218,,,,,,,,
"KRAS","KRAS",-0.217127724170431,374,FALSE,474.172944626873,0.00239808153477218,0.7351108505937,0.735110850593701,0.7351108505937,2,0.0984676350344769,0.0154668842608283,0.0708746700182683,0.0348260498144661,-0.217127724170431,,,,,,,,
"LCK","LCK",0.313188847718664,216,FALSE,129.610144500253,0.00201612903225806,0.443857715388509,0.443857715388509,0.443857715388509,1,0.2781680055198,-0.0587174787157004,-0.618942843374923,0.352104995400981,0.313188847718664,,,,,,,,
"LEP","LEP",0.261439533484421,134,FALSE,28.632797404123,0.00186219739292365,0.313330471632394,0.313330471632395,0.313330471632394,1,-0.0609840638991737,0.203474394515967,-0.187272033942756,0.265006767077597,0.261439533484421,,,,,,,,
"LIF","LIF",-0.0529984811133368,106,FALSE,24.3003822710778,0.00181488203266788,0.23666994931955,0.23666994931955,0.236669949319549,1,0.40196828805468,-0.2140068041504,-0.35746610714548,0.228493823481303,-0.0529984811133368,,,,,,,,
"LRRK2","LRRK2",0.253783952634908,82,FALSE,19.4379522771474,0.00177619893428064,0.17008746425191,0.17008746425191,0.170087464251909,3,-0.0825316623088336,-0.193219549115104,-0.517777325670534,0.30676556808008,0.253783952634908,,,,,,,,
