gene_symbol	module	in_signature_module	ensembl_gene_id	description	gene_biotype	degree	hub_score	padj	max_diff
CASP8	4	FALSE	ENSG00000064012	caspase 8	protein_coding	150	0.348066257809591	1.01937621546482e-19	1.0851767724986
HSPA5	4	FALSE	ENSG00000044574	heat shock protein family A (Hsp70) member 5	protein_coding	98	0.240544804756689	1.09391107372014e-11	1.38290100199724
PRKCZ	2	TRUE	ENSG00000067606	protein kinase C zeta	protein_coding	134	0.293425437591653	1.60019597176076e-35	1.18425525465411
GATA3	1	FALSE	ENSG00000107485	GATA binding protein 3	protein_coding	116	0.254986955954393	4.17254288322149e-42	1.5106475374433
SNAI2	5	FALSE	ENSG00000019549	snail family transcriptional repressor 2	protein_coding	114	0.270039623088922	2.62717429722934e-53	2.09755534556526
PPP2CA	3	TRUE	ENSG00000113575	protein phosphatase 2 catalytic subunit alpha	protein_coding	122	0.256249073524961	1.78083090260654e-10	1.10886783081824
NR3C1	4	FALSE	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	protein_coding	122	0.285033976662041	2.58029221240481e-16	1.37243092098664
TNFRSF1A	1	FALSE	ENSG00000067182	TNF receptor superfamily member 1A	protein_coding	138	0.304687496295758	2.911944627796e-12	1.05023910963018
CCNB1	4	FALSE	ENSG00000134057	cyclin B1	protein_coding	112	0.243401459466407	9.44415437735972e-30	1.16294756626416
PPP2R1A	3	TRUE	ENSG00000105568	protein phosphatase 2 scaffold subunit Aalpha	protein_coding	120	0.254404499550148	1.22636663705395e-09	1.11839392189369
ZAP70	1	FALSE	ENSG00000291603	zeta chain of T cell receptor associated protein kinase 70	protein_coding	120	0.249988014945192	6.10011198614568e-23	1.10655764713679
EPCAM	5	FALSE	ENSG00000119888	epithelial cell adhesion molecule	protein_coding	88	0.222929729326285	4.97400862322139e-28	1.13818378043004
CSF1	1	FALSE	ENSG00000184371	colony stimulating factor 1	protein_coding	152	0.341414727063615	1.16849937040241e-31	1.25660550325459
SPP1	5	FALSE	ENSG00000118785	secreted phosphoprotein 1	protein_coding	132	0.317589296929655	3.87159060493415e-10	1.21436116042917
ANGPT1	2	TRUE	ENSG00000154188	angiopoietin 1	protein_coding	134	0.307987805078063	4.72640762529175e-18	1.04133905326407
IL7	1	FALSE	ENSG00000104432	interleukin 7	protein_coding	140	0.298337960938392	4.949486604525e-11	1.0393930513849
PRLR	1	FALSE	ENSG00000113494	prolactin receptor	protein_coding	76	0.160015929349743	3.52950926439477e-29	1.26710894514367
TIMP1	5	FALSE	ENSG00000102265	TIMP metallopeptidase inhibitor 1	protein_coding	106	0.263021464576669	3.19395605478161e-15	1.11068405655095
RB1	4	FALSE	ENSG00000139687	RB transcriptional corepressor 1	protein_coding	106	0.242777526855065	2.45847446662202e-24	1.19805072082868
CCNA2	4	FALSE	ENSG00000145386	cyclin A2	protein_coding	108	0.239799097824334	1.16568158587142e-31	1.23506544590899
PTK2B	3	TRUE	ENSG00000120899	protein tyrosine kinase 2 beta	protein_coding	116	0.249487994303504	4.38426951764374e-20	1.10602515804404
AKT3	4	FALSE	ENSG00000275199	AKT serine/threonine kinase 3	protein_coding	116	0.263075759622097	5.62936866098257e-18	1.00033907110502
CASP9	4	FALSE	ENSG00000132906	caspase 9	protein_coding	124	0.298052704785899	2.40966322279666e-14	1.22884510680098
IL15	1	FALSE	ENSG00000164136	interleukin 15	protein_coding	124	0.263712522814132	5.62362960110805e-22	1.32385227049486
MMP3	5	FALSE	ENSG00000149968	matrix metallopeptidase 3	protein_coding	108	0.262047944078451	4.39694556706702e-32	1.29624456472067
CTTN	3	TRUE	ENSG00000288401	cortactin	protein_coding	96	0.198398180330351	3.63412048610832e-24	1.05509782505089
GAB2	2	TRUE	ENSG00000033327	GRB2 associated binding protein 2	protein_coding	134	0.292960327997873	4.34729632903254e-17	1.03314396519458
WNT5A	5	FALSE	ENSG00000114251	Wnt family member 5A	protein_coding	88	0.183085461589159	4.41980553425611e-11	1.09729028278531
NPM1	4	FALSE	ENSG00000181163	nucleophosmin 1	protein_coding	100	0.219340604019097	1.11843730030976e-22	1.23178213055499
NES	5	FALSE	ENSG00000132688	nestin	protein_coding	104	0.242528623145694	1.52102691039529e-13	1.20199349746555
MCL1	4	FALSE	ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member	protein_coding	124	0.297330965270832	2.40803764050412e-29	1.46028126949832
BMP2	5	FALSE	ENSG00000125845	bone morphogenetic protein 2	protein_coding	94	0.212488292087937	4.10497765307288e-25	1.06438675398715
SNCA	3	TRUE	ENSG00000145335	synuclein alpha	protein_coding	90	0.19736983499541	2.67151782132948e-16	1.0892476940434
CD247	1	FALSE	ENSG00000198821	CD247 molecule	protein_coding	92	0.203155454165144	6.94876419806669e-27	1.078319549269
DNM2	3	TRUE	ENSG00000079805	dynamin 2	protein_coding	70	0.139321725292537	1.66825651002126e-54	1.73203775291419
PLEK	3	TRUE	ENSG00000115956	pleckstrin	protein_coding	86	0.195263258846456	8.44989293671257e-44	1.36399976552543
STAT6	1	FALSE	ENSG00000166888	signal transducer and activator of transcription 6	protein_coding	112	0.250307840309086	7.47962530841761e-47	1.33762801714301
MKI67	5	FALSE	ENSG00000148773	marker of proliferation Ki-67	protein_coding	106	0.261502302303829	2.0867355228522e-24	1.10735946934103
VEGFC	2	TRUE	ENSG00000150630	vascular endothelial growth factor C	protein_coding	114	0.267715109689731	3.58834310760244e-23	1.29241872312576
FAS	1	FALSE	ENSG00000026103	Fas cell surface death receptor	protein_coding	112	0.252005867017087	4.6836692100358e-11	1.09606590548282
CTNND1	3	TRUE	ENSG00000198561	catenin delta 1	protein_coding	88	0.187073578978943	1.83347726506419e-26	1.06794421982454
SERPINE1	5	FALSE	ENSG00000106366	serpin family E member 1	protein_coding	98	0.235943873402801	8.5639816943107e-06	1.10757291791348
MAPT	3	TRUE	ENSG00000277956	microtubule associated protein tau	protein_coding	82	0.178980188927291	8.47402175489412e-08	1.00722503852846
ANXA2	5	FALSE	ENSG00000182718	annexin A2	protein_coding	76	0.187483308201537	4.97966866878255e-34	1.92829959158658
ITGB2	3	TRUE	ENSG00000160255	integrin subunit beta 2	protein_coding	94	0.191867244637001	1.34976248190099e-35	1.26293714641256
