gene_symbol	ensembl_gene_id	description	module	degree	hub_score	max_diff	padj	protein_atlas	gene_cards	receptor	uro_receptor	keep
CTNNB1	ENSG00000168036	catenin beta 1	4	446	0.83	1.03	8.6E-22	uro_cells	NA	NA	NA	yes
EZH2	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	4	124	0.27	1.45	3.4E-50	uro_cells	NA	NA	NA	yes
FOXO1	ENSG00000150907	forkhead box O1	4	152	0.33	1.14	2.5E-26	uro_cells	NA	NA	NA	yes
HIF1A	ENSG00000100644	hypoxia inducible factor 1 subunit alpha	4	296	0.61	1.58	5.2E-25	uro_cells	NA	NA	NA	yes
HSPA4	ENSG00000170606	heat shock protein family A (Hsp70) member 4	4	166	0.35	1.22	2.3E-26	uro_cells	NA	NA	NA	yes
HSPA5	ENSG00000044574	heat shock protein family A (Hsp70) member 5	4	98	0.24	1.38	1.1E-11	uro_cells	NA	NA	NA	yes
MAPK3	ENSG00000102882	mitogen-activated protein kinase 3	4	416	0.80	1.06	1.5E-16	uro_cells	NA	NA	NA	yes
MCL1	ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member	4	124	0.30	1.46	2.4E-29	uro_cells	NA	NA	NA	yes
NPM1	ENSG00000181163	nucleophosmin 1	4	100	0.22	1.23	1.1E-22	uro_cells	NA	NA	NA	yes
NR3C1	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	4	122	0.29	1.37	2.6E-16	uro_cells	NA	NA	NA	yes
PGR	ENSG00000082175	progesterone receptor	4	134	0.32	1.26	1.2E-09	uro_cells	NA	NA	NA	yes
PPARG	ENSG00000132170	peroxisome proliferator activated receptor gamma	4	202	0.44	1.71	2.2E-76	uro_cells	NA	NA	NA	yes
RB1	ENSG00000139687	RB transcriptional corepressor 1	4	106	0.24	1.20	2.5E-24	uro_cells	NA	NA	NA	yes
SMAD3	ENSG00000166949	SMAD family member 3	4	190	0.41	1.47	3.9E-53	uro_cells	NA	NA	NA	yes
TP53	ENSG00000141510	tumor protein p53	4	430	0.83	1.38	2.6E-25	uro_cells	NA	NA	NA	yes
ANXA2	ENSG00000182718	annexin A2	5	76	0.19	1.93	5.0E-34	uro_cells	NA	NA	NA	yes
BMP2	ENSG00000125845	bone morphogenetic protein 2	5	94	0.21	1.06	4.1E-25	ambiguous	bladder_related	NA	NA	review
BMP4	ENSG00000125378	bone morphogenetic protein 4	5	120	0.25	1.37	1.9E-14	uro_cells	NA	NA	NA	review
CAV1	ENSG00000105974	caveolin 1	5	210	0.45	1.52	1.2E-33	stromal_cells	NA	NA	NA	no
CD44	ENSG00000026508	CD44 molecule (IN blood group)	5	288	0.60	2.12	5.7E-48	uro_cells	NA	NA	NA	yes
EPCAM	ENSG00000119888	epithelial cell adhesion molecule	5	88	0.22	1.14	5.0E-28	uro_cells	NA	NA	NA	yes
FN1	ENSG00000115414	fibronectin 1	5	348	0.69	1.23	1.6E-24	stromal_cells	NA	NA	NA	no
MKI67	ENSG00000148773	marker of proliferation Ki-67	5	106	0.26	1.11	2.1E-24	uro_cells	NA	NA	NA	yes
MMP3	ENSG00000149968	matrix metallopeptidase 3	5	108	0.26	1.30	4.4E-32	uro_cells	NA	NA	NA	yes
MMP9	ENSG00000100985	matrix metallopeptidase 9	5	246	0.55	1.13	2.1E-32	ambiguous	NA	NA	NA	review
NES	ENSG00000132688	nestin	5	104	0.24	1.20	1.5E-13	ambiguous	bladder_related	NA	NA	review
POU5F1	ENSG00000204531	POU class 5 homeobox 1	5	132	0.28	1.40	8.5E-20	uro_cells	NA	NA	NA	yes
SERPINE1	ENSG00000106366	serpin family E member 1	5	98	0.24	1.11	8.6E-06	uro_cells	NA	NA	NA	yes
SHH	ENSG00000164690	sonic hedgehog signaling molecule	5	136	0.29	1.36	1.3E-38	ligand	NA	NA	NA	review
SNAI1	ENSG00000124216	snail family transcriptional repressor 1	5	150	0.35	1.10	2.3E-26	uro_cells	NA	NA	NA	yes
SNAI2	ENSG00000019549	snail family transcriptional repressor 2	5	114	0.27	2.10	2.6E-53	uro_cells	NA	NA	NA	yes
SOX9	ENSG00000125398	SRY-box transcription factor 9	5	132	0.28	1.54	4.4E-35	uro_cells	NA	NA	NA	yes
SPP1	ENSG00000118785	secreted phosphoprotein 1	5	132	0.32	1.21	3.9E-10	uro_cells	NA	NA	NA	yes
TGFB1	ENSG00000105329	transforming growth factor beta 1	5	190	0.43	1.39	3.2E-20	ligand	NA	NA	NA	no
TIMP1	ENSG00000102265	TIMP metallopeptidase inhibitor 1	5	106	0.26	1.11	3.2E-15	uro_cells	NA	NA	NA	yes
WNT5A	ENSG00000114251	Wnt family member 5A	5	88	0.18	1.10	4.4E-11	ligand	NA	NA	NA	review
